"","age_group","sex","miles","acc_inv"
"2552","(16,18]","F","2","0"
"2553","(16,18]","F",NA,"0"
"2554","(21,80]","M",NA,"1+"
"2555","(21,80]","F","2","0"
"2556","(16,18]","M","3","1+"
"2557","(16,18]","M","1","0"
"2558","(16,18]","F","1","0"
"2559","(21,80]","F","3","0"
"2560","(16,18]","M","2","0"
"2561","(16,18]","M","2","0"
"2562","(16,18]","F","3","0"
"2563","(18,21]","F","3","0"
"2564","(16,18]","M","3","0"
"2565","(21,80]","M","2","0"
"2566","(21,80]","F","3","0"
"2567","(16,18]","M",NA,"0"
"2568","(18,21]","M","2","0"
"2569","(16,18]","F","1","0"
"2570","(18,21]","F",NA,"0"
"2571","(16,18]","F","3","0"
"2572","(16,18]","M","2","0"
"2573","(21,80]","M","3","0"
"2574","(16,18]","F","3","0"
"2575","(21,80]","M","2","0"
"2576","(21,80]","M","1","0"
"2577","(16,18]","F","3","0"
"2578","(21,80]","M","2","0"
"2579","(21,80]","F","3","0"
"2580","(16,18]","F","3","0"
"2581","(16,18]","F","2","0"
"2582","(21,80]","F","3","0"
"2583","(21,80]","M","3","0"
"2584","(21,80]","F","3","0"
"2585","(16,18]","F","2","0"
"2586","(21,80]","M","1","0"
"2587","(21,80]","F","3","0"
"2588","(21,80]","F","3","0"
"2589","(16,18]","F","2","0"
"2590","(16,18]","M","2","0"
"2591","(16,18]","M","3","0"
"2592","(16,18]","F","2","1+"
"2593","(21,80]","F","3","0"
"2594","(18,21]","F","3","0"
"2595","(21,80]","F","3","0"
"2596","(16,18]","F","3","0"
"2597","(18,21]","F","2","0"
"2598","(16,18]","F","3","0"
"2599","(18,21]","M","3","0"
"2600","(16,18]","M","1","0"
"2601","(16,18]","F","3","0"
"2602","(16,18]","F",NA,"0"
"2603","(16,18]","F","3","0"
"2604","(18,21]","F","3","0"
"2605","(18,21]","F","3","0"
"2606","(18,21]","F","3","0"
"2607","(16,18]","M","2","1+"
"2608","(21,80]","F","2","0"
"2609","(18,21]","M","3","0"
"2610","(16,18]","M","3","0"
"2611","(21,80]","M","2","0"
"2612","(16,18]","F","3","0"
"2613","(18,21]","M","1","0"
"2614","(21,80]","F","3","0"
"2615","(16,18]","F","3","0"
"2616","(21,80]","F","3","0"
"2617","(21,80]","M","1","0"
"2618","(16,18]","M","1","0"
"2619","(21,80]","F","3","0"
"2620","(21,80]","F","3","0"
"2621","(21,80]","F","3","0"
"2622","(18,21]","F","1","0"
"2623","(16,18]","M","2","1+"
"2624","(16,18]","F","2","0"
"2625","(16,18]","F","3","0"
"2626","(21,80]","F","2","0"
"2627","(21,80]","F","1","0"
"2628","(18,21]","M","3","0"
"2629","(21,80]","F",NA,"0"
"2630","(16,18]","F","3","0"
"2631","(18,21]","F","2","0"
"2632","(21,80]","F","2","0"
"2633","(16,18]","F","3","1+"
"2634","(21,80]","F","2","0"
"2635","(21,80]","F","2","0"
"2636","(21,80]","F","3","0"
"2637","(16,18]","F","2","0"
"2638","(21,80]","F","3","0"
"2639","(21,80]","F","3","0"
"2640","(21,80]","F","2","0"
"2641","(18,21]","F","1","0"
"2642","(21,80]","M","3","0"
"2643","(16,18]","M","2","0"
"2644","(16,18]","F",NA,"0"
"2645","(21,80]","F","2","0"
"2646","(21,80]","F","3","0"
"2647","(16,18]","M","1","0"
"2648","(21,80]","M","3","0"
"2649","(18,21]","M","3","0"
"2650","(18,21]","F",NA,"0"
"2651","(18,21]","F","2","0"
"2652","(16,18]","M","2","0"
"2653","(21,80]","M","2","0"
"2654","(21,80]","M","1","1+"
"2655","(16,18]","M","1","0"
"2656","(21,80]","F","3","0"
"2657","(16,18]","F","2","0"
"2658","(16,18]","F","2","0"
"2659","(18,21]","F","3","0"
"2660","(21,80]","M","1","0"
"2661","(16,18]","F","2","0"
"2662","(16,18]","F","3","0"
"2663","(18,21]","F","3","0"
"2664","(21,80]","M","3","0"
"2665","(16,18]","M","3","0"
"2666","(21,80]","F","2","1+"
"2667","(21,80]","M","3","0"
"2668","(16,18]","F",NA,"0"
"2669","(16,18]","F",NA,"0"
"2670","(16,18]","F","2","1+"
"2671","(21,80]","F","3","0"
"2672","(18,21]","M","2","0"
"2673","(16,18]","M","2","0"
"2674","(16,18]","M","3","0"
"2675","(21,80]","F","1","0"
"2676","(21,80]","F","3","0"
"2677","(16,18]","M","3","0"
"2678","(18,21]","F","3","0"
"2679","(21,80]","F","2","0"
"2680","(18,21]","M","2","0"
"2681","(18,21]","F","2","0"
"2682","(18,21]","M","3","0"
"2683","(18,21]","M","2","0"
"2684","(16,18]","M","3","1+"
"2685","(16,18]","M","3","0"
"2686","(18,21]","F","3","0"
"2687","(21,80]","F","2","0"
"2688","(16,18]","M","1","0"
"2689","(18,21]","F","3","0"
"2690","(18,21]","M","3","0"
"2691","(21,80]","F","3","0"
"2692","(18,21]","F","3","0"
"2693","(21,80]","F","3","0"
"2694","(21,80]","F","3","0"
"2695","(21,80]","F","3","0"
"2696","(18,21]","F","3","0"
"2697","(18,21]","M","3","0"
"2698","(16,18]","F","2","0"
"2699","(21,80]","F","3","0"
"2700","(18,21]","F","2","0"
"2701","(18,21]","F","3","0"
"2702","(21,80]","F","3","0"
"2703","(21,80]","F","3","0"
"2704","(16,18]","F","3","0"
"2705","(21,80]","F","2","0"
"2706","(16,18]","F","3",NA
"2707","(21,80]","M","3","0"
"2708","(16,18]","F","3","0"
"2709","(16,18]","F","2","0"
"2710","(21,80]","F","3","0"
"2711","(18,21]","F","3","1+"
"2712","(21,80]","F","2","0"
"2713","(16,18]","F","2","1+"
"2714","(18,21]","M","2","0"
"2715","(21,80]","M","3","0"
"2716","(21,80]","F","3","0"
"2717","(16,18]","F","3","0"
"2718","(16,18]","M","3","0"
"2719","(18,21]","M","1","0"
"2720","(16,18]","M","2","0"
"2721","(18,21]","F","2","0"
"2722","(21,80]","F","2","0"
"2723","(21,80]","F","2","1+"
"2724","(16,18]","M","3","0"
"2725","(21,80]","F","2","0"
"2726","(18,21]","F","3","0"
"2727","(21,80]","F","3","0"
"2728","(18,21]","F","2","0"
"2729","(21,80]","F","2","0"
"2730","(16,18]","F","3","0"
"2731","(16,18]","F","2","0"
"2732","(21,80]","F","3","0"
"2733","(16,18]","M","3","0"
"2734","(16,18]","F","2","0"
"2735","(16,18]","M","2","0"
"2736","(16,18]","F",NA,"0"
"2737","(18,21]","F","2","0"
"2738","(18,21]","M","3","1+"
"2739","(16,18]","F","3","0"
"2740","(21,80]","F","2","0"
"2741","(21,80]","M","3","0"
"2742","(18,21]","F","2","0"
"2743","(18,21]","M","3","0"
"2744","(21,80]","F",NA,"0"
"2745","(21,80]","F","2","0"
"2746","(16,18]","M","2","0"
"2747","(18,21]","F",NA,"0"
"2748","(21,80]","F","3","0"
"2749","(16,18]","F","3","0"
"2750","(21,80]","F","3","1+"
"2751","(16,18]","M",NA,"1+"
"2752","(18,21]","F","3","0"
"2753","(16,18]","F","3","1+"
"2754","(21,80]","M","2","0"
"2755","(16,18]","M","2","0"
"2756","(21,80]","F","3","0"
"2757","(18,21]","M","1","0"
"2758","(21,80]","F","2","0"
"2759","(16,18]","F","2","1+"
"2760","(16,18]","M","2","0"
"2761","(16,18]","M","1","1+"
"2762","(18,21]","F","2","0"
"2763","(16,18]","M","2","0"
"2764","(18,21]","F","3","0"
"2765","(18,21]","F","3","0"
"2766","(21,80]","F","3","0"
"2767","(16,18]","F","3","0"
"2768","(18,21]","M","3","0"
"2769","(21,80]","F","3","0"
"2770","(21,80]","F","2","0"
"2771","(21,80]","M","2","0"
"2772","(16,18]","F","3","0"
"2773","(18,21]","M","2","0"
"2774","(16,18]","F","2","0"
"2775","(18,21]","M","3","0"
"2776","(16,18]","M","2","0"
"2777","(16,18]","F","2","0"
"2778","(21,80]","F","3","0"
"2779","(21,80]","F","3","0"
"2780","(16,18]","M","3","0"
"2781","(18,21]","F","3","0"
"2782","(21,80]","M","2","0"
"2783","(21,80]","F","2","0"
"2784","(16,18]","F","3","0"
"2785","(18,21]","F","1","0"
"2786","(21,80]","F","3","0"
"2787","(16,18]","M","1","0"
"2788","(16,18]","F","3","0"
"2789","(21,80]","F","3","0"
"2790","(21,80]","M","3","0"
"2791","(18,21]","F",NA,"0"
"2792","(18,21]","F","3","0"
"2793","(21,80]","F","3","0"
"2794","(21,80]","F","3","0"
"2795","(21,80]","M","3","1+"
"2796","(21,80]","F","2","0"
"2797","(16,18]","F","2","0"
"2798","(21,80]","M","2","0"
"2799","(16,18]","M","2","0"
"2800","(18,21]","F","1","0"
"2801","(21,80]","F",NA,"1+"
"2802","(18,21]","F","3","0"
"2803","(21,80]","F","2","0"
"2804","(21,80]","F","3","0"
"2805","(18,21]","F","3","0"
"2806","(18,21]","M","3","0"
"2807","(16,18]","F","2","0"
"2808","(16,18]","M","3","0"
"2809","(16,18]","M","2","0"
"2810","(21,80]","F","3","0"
"2811","(21,80]","F","3","0"
"2812","(21,80]","M","3","0"
"2813","(16,18]","F","3","0"
"2814","(18,21]","M","3","0"
"2815","(16,18]","F","3","0"
"2816","(16,18]","F","2","1+"
"2817","(16,18]","F","3","0"
"2818","(21,80]","M","3","0"
"2819","(18,21]","M","3","0"
"2820","(16,18]","F","1","1+"
"2821","(16,18]","M","1","1+"
"2822","(18,21]","F","2","0"
"2823","(18,21]","F","3","0"
"2824","(18,21]","F","3","0"
"2825","(18,21]","F","2","0"
"2826","(18,21]","F","3","0"
"2827","(16,18]","F","2","0"
"2828","(16,18]","F","3","0"
"2829","(21,80]","F","3","1+"
"2830","(21,80]","M","2","0"
"2831","(18,21]","M","3","0"
"2832","(16,18]","F",NA,"0"
"2833","(21,80]","F","3","0"
"2834","(16,18]","F",NA,"0"
"2835","(16,18]","M","3","0"
"2836","(21,80]","F","3","0"
"2837","(21,80]","F","3","0"
"2838","(18,21]","M","2","0"
"2839","(18,21]","M","1","0"
"2840","(18,21]","F","2","0"
"2841","(21,80]","F","3","0"
"2842","(16,18]","M","1","0"
"2843","(21,80]","F","3","0"
"2844","(21,80]","M","2","0"
"2845","(21,80]","M","3","0"
"2846","(18,21]","M","3","0"
"2847","(21,80]","M","3","0"
"2848","(16,18]","F","3","0"
"2849","(16,18]","M","2","0"
"2850","(21,80]","F","3","0"
"2851","(21,80]","F","2","0"
"2852","(16,18]","M",NA,"0"
"2853","(16,18]","M","3","0"
"2854","(18,21]","M","3","0"
"2855","(21,80]","F","3","0"
"2856","(16,18]","F","3","0"
"2857","(16,18]","M","3","0"
"2858","(16,18]","M","2","0"
"2859","(18,21]","F","3","0"
"2860","(16,18]","F","2","0"
"2861","(18,21]","F",NA,NA
"2862","(21,80]","F","2","0"
"2863","(16,18]","F","2","0"
"2864","(21,80]","F","2","0"
"2865","(21,80]","F",NA,"0"
"2866","(18,21]","F","3","0"
"2867","(16,18]","M","3","0"
"2868","(16,18]","F","2","0"
"2869","(21,80]","M","2","1+"
"2870","(16,18]","F",NA,"0"
"2871","(18,21]","M","2","0"
"2872","(16,18]","M","1","0"
"2873","(16,18]","F","2","1+"
"2874","(18,21]","F","2","0"
"2875","(16,18]","F","3","1+"
"2876","(16,18]","M","2","0"
"2877","(18,21]","F","1","0"
"2878","(16,18]","M","3","0"
"2879","(21,80]","M","3","0"
"2880","(21,80]","F","3","0"
"2881","(18,21]","F","2","0"
"2882","(18,21]","M","3","0"
"2883","(21,80]","F","3","0"
"2884","(21,80]","M","2","0"
"2885","(16,18]","M","2","0"
"2886","(18,21]","F","2","0"
"2887","(18,21]","F","2","0"
"2888","(21,80]","F","3","0"
"2889","(16,18]","M","2","0"
"2890","(21,80]","M","3","0"
"2891","(18,21]","F",NA,"0"
"2892","(16,18]","M","2","0"
"2893","(21,80]","F","2","0"
"2894","(16,18]","F","3","0"
"2895","(16,18]","F","3","0"
"2896","(18,21]","F","3","1+"
"2897","(18,21]","M","3","1+"
"2898","(16,18]","F","3","0"
"2899","(16,18]","F","3","0"
"2900","(16,18]","M","2","0"
"2901","(16,18]","F",NA,"0"
"2902","(16,18]","F","3","0"
"2903","(16,18]","M","3","0"
"2904","(16,18]","F","2","0"
"2905","(16,18]","M","1","0"
"2906","(18,21]","M","3","0"
"2907","(16,18]","F","3","0"
"2908","(16,18]","F","3","0"
"2909","(18,21]","F","3","0"
"2910","(18,21]","F","2","0"
"2911","(18,21]","F","2","0"
"2912","(21,80]","M","3","0"
"2913","(18,21]","F","3","0"
"2914","(21,80]","F","3","0"
"2915","(21,80]","F","3","0"
"2916","(16,18]","F","3","0"
"2917","(18,21]","F","3","0"
"2918","(16,18]","F","2","0"
"2919","(21,80]","F","3","0"
"2920","(21,80]","F","3","0"
"2921","(21,80]","M","3","0"
"2922","(16,18]","F","3","0"
"2923","(21,80]","F","2","0"
"2924","(21,80]","F","3","0"
"2925","(21,80]","F","2","0"
"2926","(16,18]","M","3","0"
"2927","(18,21]","F","3","0"
"2928","(18,21]","M","2","0"
"2929","(18,21]","F","3","0"
"2930","(21,80]","M","1","0"
"2931","(21,80]","M","3","0"
"2932","(18,21]","M","2","0"
"2933","(16,18]","F","3","0"
"2934","(18,21]","F","2","0"
"2935","(21,80]","M","3","0"
"2936","(16,18]","M","3","0"
"2937","(16,18]","F","3","0"
"2938","(21,80]","F","3","0"
"2939","(21,80]","F",NA,"0"
"2940","(21,80]","F","3","0"
"2941","(16,18]","F","2","0"
"2942","(18,21]","M","1","0"
"2943","(16,18]","F",NA,"0"
"2944","(21,80]","F","3","0"
"2945","(18,21]","M","3","0"
"2946","(21,80]","F","2","0"
"2947","(16,18]","F","3","1+"
"2948","(16,18]","F","1","0"
"2949","(21,80]","F","3","0"
"2950","(18,21]","F","1","0"
"2951","(21,80]","F","3","0"
"2952","(16,18]","M","1","0"
"2953","(18,21]","F","2","0"
"2954","(16,18]","M","3","0"
"2955","(16,18]","M","2","0"
"2956","(16,18]","M","2","0"
"2957","(16,18]","M","2","1+"
"2958","(16,18]","M","3","0"
"2959","(21,80]","F","3","0"
"2960","(21,80]","F","3","0"
"2961","(16,18]","F","2","0"
"2962","(16,18]","F","2","0"
"2963","(16,18]","M","1","0"
"2964","(18,21]","F","2","0"
"2965","(21,80]","F","2","0"
"2966","(16,18]","F","3","0"
"2967","(18,21]","M","2","0"
"2968","(21,80]","F","3","0"
"2969","(16,18]","F","2","0"
"2970","(16,18]","F","2","0"
"2971","(18,21]","F","3","0"
"2972","(16,18]","F","2","1+"
"2973","(18,21]","F","2","0"
"2974","(18,21]","M","2","0"
"2975","(21,80]","F","2","0"
"2976","(21,80]","F","2","0"
"2977","(21,80]","F",NA,"0"
"2978","(18,21]","F","3","0"
"2979","(21,80]","F","2","0"
"2980","(18,21]","M","3","0"
"2981","(16,18]","F","3","0"
"2982","(21,80]","F","3","0"
"2983","(16,18]","M","2","0"
"2984","(16,18]","F","3","0"
"2985","(16,18]","F","3","0"
"2986","(18,21]","F","3","0"
"2987","(18,21]","F",NA,"0"
"2988","(16,18]","M","1","0"
"2989","(16,18]","F","3","0"
"2990","(18,21]","M","3","0"
"2991","(21,80]","F",NA,"0"
"2992","(21,80]","M","3","0"
"2993","(21,80]","F","3","1+"
"2994","(16,18]","F","2","0"
"2995","(16,18]","F","3","0"
"2996","(18,21]","M","3","0"
"2997","(21,80]","F","2","0"
"2998","(21,80]","F","3","0"
"2999","(21,80]","F","2","0"
"3000","(21,80]","F","3","0"
"3001","(16,18]","M","3","0"
"3002","(16,18]","M","2","0"
"3003","(16,18]","F",NA,"0"
"3004","(21,80]","F","3","0"
"3005","(18,21]","F","3","0"
"3006","(21,80]","F","3","0"
"3007","(16,18]","F","2","0"
"3008","(21,80]","M","2","0"
"3009","(18,21]","F","3","0"
"3010","(18,21]","F","2","1+"
"3011","(18,21]","F","3","0"
"3012","(18,21]","M","3","0"
"3013","(21,80]","F","3","0"
"3014","(18,21]","M",NA,"0"
"3015","(18,21]","M","3","0"
"3016","(18,21]","F",NA,"0"
"3017","(18,21]","F",NA,"0"
"3018","(16,18]","M","3","0"
"3019","(21,80]","F","3","0"
"3020","(16,18]","M","3","0"
"3021","(21,80]","F",NA,"0"
"3022","(18,21]","F",NA,"0"
"3023","(21,80]","F","3","0"
"3024","(21,80]","F","3","0"
"3025","(18,21]","F","2","0"
"3026","(16,18]","F","3","0"
"3027","(16,18]","M","2","0"
"3028","(21,80]","F","3","0"
"3029","(21,80]","F","3","0"
"3030","(16,18]","M","2","0"
"3031","(21,80]","F","3","0"
"3032","(16,18]","M","2","0"
"3033","(16,18]","F",NA,"0"
"3034","(18,21]","F",NA,"0"
"3035","(16,18]","F","2","0"
"3036","(16,18]","F","3","0"
"3037","(16,18]","F","2","0"
"3038","(21,80]","F","2","0"
"3039","(18,21]","F","2","0"
"3040","(18,21]","M","3","0"
"3041","(16,18]","F","3","0"
"3042","(21,80]","F","2","0"
"3043","(18,21]","F","3","0"
"3044","(16,18]","F","3","0"
"3045","(16,18]","F","3","0"
"3046","(16,18]","F","2","0"
"3047","(16,18]","F","2","0"
"3048","(18,21]","F","2","0"
"3049","(16,18]","F",NA,"0"
"3050","(21,80]","F","3","0"
"3051","(18,21]","M","3","0"
"3052","(18,21]","F","2","0"
"3053","(21,80]","F",NA,"0"
"3054","(18,21]","M","3","0"
"3055","(21,80]","F","2","0"
"3056","(21,80]","F",NA,"0"
"3057","(21,80]","F","3","0"
"3058","(16,18]","F","2","0"
"3059","(16,18]","F","1","0"
"3060","(16,18]","F","3","0"
"3061","(21,80]","F",NA,"0"
"3062","(21,80]","M","3","1+"
"3063","(18,21]","M","2","1+"
"3064","(18,21]","F",NA,"0"
"3065","(21,80]","F","2","0"
"3066","(16,18]","F","3","0"
"3067","(16,18]","M","1","1+"
"3068","(16,18]","F","3","0"
"3069","(21,80]","F","2","0"
"3070","(16,18]","F","2","0"
"3071","(16,18]","F","2","0"
"3072","(18,21]","F","3","0"
"3073","(21,80]","M","3","0"
"3074","(16,18]","F","2","0"
"3075","(21,80]","F","3","0"
"3076","(16,18]","M","2","1+"
"3077","(18,21]","F","3","0"
"3078","(21,80]","F","3","0"
"3079","(16,18]","F","3","0"
"3080","(18,21]","F","2","0"
"3081","(16,18]","M",NA,"0"
"3082","(16,18]","M","2","0"
"3083","(21,80]","F","2","0"
"3084","(18,21]","F","3","0"
"3085","(16,18]","M","3","0"
"3086","(21,80]","F","2","0"
"3087","(21,80]","F","2","0"
"3088","(21,80]","M","1","0"
"3089","(16,18]","F","2","0"
"3090","(21,80]","F","2","0"
"3091","(21,80]","F","3","0"
"3092","(18,21]","F","2","0"
"3093","(18,21]","F","2","1+"
"3094","(18,21]","F","3","0"
"3095","(16,18]","M","3","0"
"3096","(21,80]","F","3","0"
"3097","(18,21]","M","3","0"
"3098","(16,18]","M","3","0"
"3099","(21,80]","M","3","0"
"3100","(18,21]","M","3","0"
"3101","(21,80]","F","3","0"
"3102","(21,80]","M","2","0"
"3103","(18,21]","F","2","1+"
"3104","(16,18]","F","3","0"
"3105","(21,80]","M",NA,"0"
"3106","(18,21]","F","2","0"
"3107","(21,80]","F","3","0"
"3108","(18,21]","F","3","0"
"3109","(21,80]","M","1","0"
"3110","(16,18]","M","3","0"
"3111","(18,21]","F","3","0"
"3112","(18,21]","F","3","0"
"3113","(18,21]","F",NA,"0"
"3114","(21,80]","F","3","0"
"3115","(18,21]","M","3","0"
"3116","(16,18]","F","3","0"
"3117","(21,80]","M","3","0"
"3118","(16,18]","F","3","0"
"3119","(21,80]","M","3","0"
"3120","(18,21]","F","3","0"
"3121","(16,18]","F","3","0"
"3122","(18,21]","F","2","0"
"3123","(21,80]","M","2","0"
"3124","(16,18]","F",NA,"0"
"3125","(21,80]","F","2","0"
"3126","(18,21]","F","2","1+"
"3127","(18,21]","M","1","0"
"3128","(21,80]","F","2","0"
"3129","(21,80]","M","1","0"
"3130","(16,18]","M","3","0"
"3131","(21,80]","F","2","0"
"3132","(16,18]","M","1","0"
"3133","(16,18]","F",NA,"0"
"3134","(18,21]","F",NA,"0"
"3135","(16,18]","M","2","0"
"3136","(21,80]","M","3","0"
"3137","(21,80]","F","3","0"
"3138","(21,80]","F","3","0"
"3139","(18,21]","M","2","0"
"3140","(16,18]","M","2","0"
"3141","(18,21]","F","3","0"
"3142","(16,18]","F","2","0"
"3143","(16,18]","F","3","0"
"3144","(18,21]","M","3","0"
"3145","(21,80]","F","3","0"
"3146","(21,80]","F","3","0"
"3147","(21,80]","F","3","0"
"3148","(18,21]","F","3","0"
"3149","(16,18]","F","3","0"
"3150","(16,18]","M","2","0"
"3151","(21,80]","F",NA,"0"
"3152","(21,80]","M","3","0"
"3153","(21,80]","F","2","0"
"3154","(21,80]","F","3","0"
"3155","(16,18]","M","3","0"
"3156","(21,80]","F","2","0"
"3157","(21,80]","F","2","0"
"3158","(16,18]","F","3","0"
"3159","(21,80]","F","3","0"
"3160","(21,80]","F","3","0"
"3161","(18,21]","F","3","0"
"3162","(16,18]","F","1","0"
"3163","(16,18]","M",NA,"0"
"3164","(21,80]","F","3","0"
"3165","(16,18]","M","3","0"
"3166","(18,21]","M","3","0"
"3167","(16,18]","F","3","0"
"3168","(21,80]","M","2","0"
"3169","(21,80]","F","2","0"
"3170","(21,80]","F","3","0"
"3171","(16,18]","F",NA,"0"
"3172","(21,80]","F","3","0"
"3173","(21,80]","F","2","0"
"3174","(21,80]","F","3","0"
"3175","(16,18]","M","2","0"
"3176","(16,18]","F","3","0"
"3177","(21,80]","M","2","0"
"3178","(21,80]","F","2","0"
"3179","(21,80]","F","2","0"
"3180","(16,18]","M",NA,"1+"
"3181","(16,18]","M","2","0"
"3182","(18,21]","F","3","0"
"3183","(21,80]","F","3","0"
"3184","(16,18]","M","1","1+"
"3185","(16,18]","F","3","0"
"3186","(16,18]","F","3","0"
"3187","(21,80]","F","2","0"
"3188","(21,80]","F","3","0"
"3189","(16,18]","F","3","0"
"3190","(18,21]","F",NA,"0"
"3191","(21,80]","F","2","0"
"3192","(18,21]","F","3","0"
"3193","(21,80]","M","3","0"
"3194","(21,80]","F","3","0"
"3195","(16,18]","F","3","0"
"3196","(16,18]","F","2","0"
"3197","(18,21]","F","3","1+"
"3198","(16,18]","M","3","0"
"3199","(16,18]","F",NA,"0"
"3200","(16,18]","M","2","0"
"3201","(16,18]","F","3","0"
"3202","(16,18]","F","3","0"
"3203","(16,18]","M","1","0"
"3204","(21,80]","F","3","0"
"3205","(16,18]","F","2","0"
"3206","(16,18]","F","1","0"
"3207","(18,21]","F","1","0"
"3208","(18,21]","M","3","0"
"3209","(16,18]","F","1","0"
"3210","(16,18]","F",NA,"0"
"3211","(21,80]","M","2","0"
"3212","(16,18]","F","3","0"
"3213","(16,18]","F","2","0"
"3214","(16,18]","M","2","0"
"3215","(18,21]","F","2","0"
"3216","(18,21]","M","3","0"
"3217","(21,80]","F","3","0"
"3218","(21,80]","M","1","0"
"3219","(16,18]","F","3","0"
"3220","(21,80]","F","3","0"
"3221","(18,21]","F","3","0"
"3222","(21,80]","M","1","0"
"3223","(16,18]","M","2","1+"
"3224","(16,18]","F","2","0"
"3225","(21,80]","F","3","0"
"3226","(18,21]","F","3","0"
"3227","(16,18]","F","2","0"
"3228","(16,18]","F","3","0"
"3229","(21,80]","F","3","0"
"3230","(21,80]","F","3","0"
"3231","(16,18]","F","2","0"
"3232","(18,21]","F",NA,"0"
"3233","(18,21]","M","2","0"
"3234","(21,80]","F","3","0"
"3235","(21,80]","F","2","0"
"3236","(16,18]","M","2","0"
"3237","(21,80]","M","3","0"
"3238","(16,18]","F","3","0"
"3239","(16,18]","F","2","0"
"3240","(21,80]","F","2","0"
"3241","(21,80]","M","3","1+"
"3242","(21,80]","F","1","0"
"3243","(16,18]","M","3","0"
"3244","(18,21]","F","2","0"
"3245","(16,18]","F","2","1+"
"3246","(18,21]","F","3","0"
"3247","(18,21]","M","2","0"
"3248","(18,21]","F","3","0"
"3249","(21,80]","F","2","0"
"3250","(16,18]","M","2","1+"
"3251","(16,18]","F","3","0"
"3252","(21,80]","F","3","0"
"3253","(16,18]","M","3","1+"
"3254","(21,80]","F","3","0"
"3255","(16,18]","M","3","0"
"3256","(21,80]","M","3","0"
"3257","(18,21]","M","3","0"
"3258","(16,18]","F",NA,"0"
"3259","(21,80]","M","1","0"
"3260","(18,21]","M","3","0"
"3261","(21,80]","F","3","0"
"3262","(21,80]","M","3","1+"
"3263","(18,21]","F","3","0"
"3264","(16,18]","F","3","0"
"3265","(18,21]","M","2","0"
"3266","(21,80]","F","3","0"
"3267","(16,18]","M","3","0"
"3268","(16,18]","M","3","0"
"3269","(16,18]","M","3","0"
"3270","(16,18]","F","1","0"
"3271","(21,80]","F","3","0"
"3272","(16,18]","F","3","0"
"3273","(21,80]","M","1","0"
"3274","(21,80]","F","3","0"
"3275","(18,21]","F","2","0"
"3276","(16,18]","M","3","0"
"3277","(18,21]","F","3","0"
"3278","(21,80]","F","3","0"
"3279","(18,21]","F","2","0"
"3280","(18,21]","F","3","0"
"3281","(21,80]","F","1","0"
"3282","(16,18]","F","2","1+"
"3283","(21,80]","F","3","0"
"3284","(21,80]","M","3","0"
"3285","(18,21]","M","2","0"
"3286","(21,80]","M","3","0"
"3287","(16,18]","F",NA,"0"
"3288","(21,80]","F","3","0"
"3289","(16,18]","M","2","0"
"3290","(16,18]","F","2","0"
"3291","(18,21]","F","3","0"
"3292","(16,18]","F","3","0"
"3293","(21,80]","F","2","0"
"3294","(21,80]","F","3","0"
"3295","(16,18]","M","2","0"
"3296","(21,80]","F","3","0"
"3297","(21,80]","F","2","0"
"3298","(18,21]","M","2","0"
"3299","(16,18]","F","2","0"
"3300","(21,80]","M",NA,NA
"3301","(21,80]","F","3","0"
"3302","(18,21]","F","3","0"
"3303","(18,21]","F","3","0"
"3304","(21,80]","M","3","0"
"3305","(21,80]","F","3","0"
"3306","(18,21]","F","3","0"
"3307","(16,18]","F","2","0"
"3308","(16,18]","M","3","0"
"3309","(16,18]","M","2","0"
"3310","(16,18]","M","3","0"
"3311","(16,18]","F","3","0"
"3312","(16,18]","F",NA,"1+"
"3313","(21,80]","F","2","0"
"3314","(18,21]","F","2","0"
"3315","(18,21]","F","1","0"
"3316","(21,80]","F","3","0"
"3317","(18,21]","F","2","0"
"3318","(21,80]","F",NA,"0"
"3319","(21,80]","F","3","0"
"3320","(18,21]","M","2","0"
"3321","(16,18]","F","2","0"
"3322","(18,21]","F","3","0"
"3323","(21,80]","F","3","0"
"3324","(16,18]","M","2","0"
"3325","(18,21]","F","3","0"
"3326","(16,18]","M","2","0"
"3327","(16,18]","F","2","0"
"3328","(16,18]","F",NA,"0"
"3329","(18,21]","F",NA,"0"
"3330","(16,18]","F","3","0"
"3331","(16,18]","M","2","0"
"3332","(16,18]","M","2","1+"
"3333","(18,21]","F",NA,"0"
"3334","(21,80]","F","3","0"
"3335","(16,18]","F","3","0"
"3336","(18,21]","M","3","0"
"3337","(16,18]","F",NA,"0"
"3338","(21,80]","F","3","0"
"3339","(21,80]","M","1","0"
"3340","(21,80]","F","2","1+"
"3341","(16,18]","F",NA,"0"
"3342","(16,18]","M","1","1+"
"3343","(18,21]","M","1","0"
"3344","(16,18]","F","2","0"
"3345","(16,18]","M","2","0"
"3346","(16,18]","F","3","0"
"3347","(16,18]","M","2","1+"
"3348","(21,80]","M","3","0"
"3349","(16,18]","F","3","0"
"3350","(21,80]","F",NA,"0"
"3351","(21,80]","F",NA,"0"
"3352","(21,80]","F","3","0"
"3353","(21,80]","M","3","0"
"3354","(16,18]","F","2","0"
"3355","(18,21]","F","3","0"
"3356","(16,18]","M","2","0"
"3357","(16,18]","F","2","1+"
"3358","(16,18]","F","3","0"
"3359","(16,18]","F","2","0"
"3360","(21,80]","F","3","0"
"3361","(18,21]","F","3","1+"
"3362","(21,80]","F","2","0"
