"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"184","M",3,0,0,0,0,0
"185","M",1,0,0,0,0,0
"186","F",4,0,0,0,0,0
"187","F",4,0,0,0,0,0
"188","M",1,0,0,0,0,0
"189","M",2,0,0,0,0,0
"190","F",6,0,0,0,0,0
"191","F",2,0,0,0,0,0
"192","F",9,0,0,0,0,NA
"193","F",4,0,0,0,0,0
"194","F",1,0,0,0,0,0
"195","F",5,1,0,0,0,0
"196","F",6,0,0,0,0,0
"197","F",8,0,0,0,0,0
"198","F",5,1,1,1,1,1
"199","F",6,0,0,0,0,0
"200","M",4,1,1,1,1,0
"201","M",3,0,0,0,0,0
"202","F",3,0,0,0,0,0
"203","F",5,0,0,0,0,0
"204","M",14,1,0,0,NA,NA
"205","F",7,1,0,0,0,1
"206","F",13,1,1,0,NA,NA
"207","F",1,0,0,0,0,0
"208","F",4,0,0,0,0,0
"209","F",5,0,0,0,0,0
"210","M",11,1,1,1,1,NA
"211","M",2,0,0,0,0,0
"212","F",10,0,0,0,0,NA
"213","M",6,0,0,0,0,0
"214","F",1,0,0,0,0,0
"215","F",10,0,0,0,0,NA
"216","M",4,0,0,0,0,0
"217","F",7,0,0,0,0,0
"218","F",6,1,1,1,1,1
"219","F",3,0,0,0,0,0
"220","F",3,0,0,0,0,0
"221","F",12,0,0,0,0,NA
"222","M",2,0,0,0,0,0
"223","F",3,0,0,0,0,0
"224","F",6,0,0,0,0,0
"225","M",1,1,0,1,0,0
"226","M",7,0,0,0,0,0
"227","M",3,1,0,0,0,0
"228","F",9,0,0,0,0,NA
"229","M",16,1,1,1,NA,NA
"230","F",6,0,0,0,0,0
"231","M",2,0,0,0,0,0
"232","M",4,0,0,0,0,0
"233","M",6,0,0,0,0,0
"234","M",6,0,0,0,0,0
"235","M",4,0,0,0,0,0
"236","F",4,0,0,0,0,0
"237","F",7,0,0,0,0,0
"238","M",16,0,0,0,NA,NA
"239","F",3,0,0,0,0,0
"240","M",7,0,0,0,0,0
"241","M",3,0,0,0,0,0
"242","M",6,0,0,0,0,0
"243","F",9,0,0,0,0,NA
"244","F",2,0,0,0,0,0
"245","M",3,0,0,0,0,0
"246","F",12,0,0,0,0,NA
"247","M",3,0,0,0,0,0
"248","M",15,1,1,0,NA,NA
"249","F",4,0,0,0,0,0
"250","F",9,0,0,0,0,NA
"251","F",4,0,0,0,0,0
"252","F",5,0,0,0,0,0
