"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"6964","F",12,1,1,0,0,NA
"6965","M",4,1,0,0,0,0
"6966","M",4,1,1,0,0,0
"6967","F",10,1,1,1,1,NA
"6968","M",11,1,0,0,0,NA
"6969","M",5,1,0,1,0,0
"6970","M",16,1,0,0,NA,NA
"6971","M",10,0,0,0,0,NA
"6972","F",16,0,0,0,NA,NA
"6973","F",15,0,0,0,NA,NA
"6974","F",2,0,0,0,0,0
"6975","M",1,0,0,0,0,0
"6976","M",7,0,0,0,0,0
"6977","F",2,1,0,0,0,0
"6978","F",6,1,1,1,0,1
"6979","F",2,1,0,0,0,0
"6980","M",14,1,0,0,NA,NA
"6981","F",9,0,0,0,0,NA
"6982","F",14,1,0,0,NA,NA
"6983","F",12,0,0,0,0,NA
"6984","F",2,1,1,1,1,1
"6985","F",3,0,0,0,0,0
"6986","F",12,0,0,0,0,NA
"6987","F",10,0,0,0,0,NA
"6988","F",10,0,0,0,0,NA
"6989","F",10,1,1,0,1,NA
"6990","M",13,1,0,0,NA,NA
"6991","M",9,1,0,0,0,NA
"6992","M",15,1,1,0,NA,NA
"6993","F",16,1,0,1,NA,NA
"6994","M",8,0,0,0,0,0
"6995","M",6,1,0,0,0,0
"6996","M",11,0,0,0,0,NA
"6997","F",6,0,0,0,0,0
"6998","M",9,1,0,0,0,NA
"6999","F",16,1,0,1,NA,NA
"7000","M",5,1,0,0,0,0
"7001","M",5,0,0,0,0,0
"7002","F",9,1,0,1,0,NA
"7003","M",7,1,0,1,0,0
"7004","M",8,1,1,0,0,0
"7005","F",12,1,1,1,0,NA
"7006","F",15,1,0,0,NA,NA
"7007","F",11,1,0,0,0,NA
"7008","M",16,1,0,0,NA,NA
"7009","M",12,1,0,0,0,NA
"7010","M",13,1,1,1,NA,NA
"7011","F",8,1,1,0,0,0
"7012","M",11,1,1,1,1,NA
"7013","M",16,0,0,0,NA,NA
"7014","M",7,1,0,1,0,1
"7015","F",16,0,0,0,NA,NA
"7016","M",12,1,0,0,0,NA
"7017","M",5,1,0,0,0,0
"7018","M",11,1,0,1,1,NA
"7019","M",1,1,0,0,0,0
"7020","F",4,1,1,1,0,0
"7021","F",11,1,0,0,0,NA
"7022","F",10,1,0,0,0,NA
"7023","M",10,1,1,0,0,NA
"7024","F",2,0,0,0,0,0
"7025","F",15,1,0,0,NA,NA
"7026","F",16,1,0,0,NA,NA
"7027","M",16,0,0,0,NA,NA
"7028","M",11,0,0,0,0,NA
"7029","F",7,0,0,0,0,0
"7030","F",15,0,0,0,NA,NA
"7031","M",4,1,0,0,0,0
"7032","M",10,1,0,0,0,NA
"7033","F",4,1,0,0,0,0
"7034","F",1,1,1,1,1,0
"7035","M",8,0,0,0,0,0
"7036","F",1,0,0,0,0,0
"7037","F",9,0,0,0,0,NA
"7038","F",3,0,0,0,0,0
"7039","M",15,0,0,0,NA,NA
"7040","F",12,1,1,1,0,NA
"7041","F",10,1,0,1,0,NA
"7042","M",8,1,0,0,0,0
"7043","F",3,0,0,0,0,0
"7044","F",12,1,0,0,0,NA
"7045","M",11,1,1,0,0,NA
"7046","M",13,0,0,0,NA,NA
"7047","F",11,0,0,0,0,NA
"7048","F",1,1,1,1,1,1
"7049","F",14,1,1,1,NA,NA
"7050","F",3,1,0,1,1,1
"7051","F",11,0,0,0,0,NA
"7052","M",15,1,0,0,NA,NA
"7053","M",5,1,0,0,0,0
"7054","F",10,1,1,1,0,NA
"7055","F",3,1,0,0,0,0
"7056","F",9,1,0,0,0,NA
"7057","F",2,1,0,0,0,0
"7058","F",15,0,0,0,NA,NA
"7059","M",13,0,0,0,NA,NA
"7060","M",2,0,0,0,0,0
"7061","F",15,0,0,0,NA,NA
"7062","F",2,1,1,1,1,1
"7063","F",14,1,0,0,NA,NA
"7064","F",10,1,1,1,0,NA
"7065","M",14,1,0,0,NA,NA
"7066","F",4,1,1,0,0,0
"7067","F",9,0,0,0,0,NA
"7068","F",2,0,0,0,0,0
"7069","F",1,1,1,0,0,0
"7070","M",15,1,0,0,NA,NA
"7071","M",7,1,1,1,0,0
"7072","F",5,1,1,1,1,1
"7073","F",9,1,0,0,0,NA
"7074","F",3,0,0,0,0,0
"7075","F",3,0,0,0,0,0
"7076","M",11,1,1,0,0,NA
"7077","F",4,1,1,0,0,0
"7078","F",6,0,0,0,0,0
"7079","F",14,0,0,0,NA,NA
"7080","M",14,1,1,1,NA,NA
"7081","F",7,0,0,0,0,0
"7082","F",15,1,0,0,NA,NA
"7083","F",12,1,0,0,0,NA
"7084","M",16,0,0,0,NA,NA
"7085","M",8,0,0,0,0,0
"7086","F",8,0,0,0,0,0
"7087","F",5,1,0,0,0,1
"7088","M",16,1,1,1,NA,NA
"7089","F",9,1,1,1,1,NA
"7090","M",12,1,0,1,0,NA
"7091","M",2,1,1,1,0,0
"7092","F",11,1,0,0,0,NA
"7093","M",1,1,0,0,0,0
"7094","M",4,0,0,0,0,0
"7095","F",13,1,0,0,NA,NA
"7096","F",16,1,1,1,NA,NA
"7097","F",6,1,1,0,0,1
"7098","F",12,1,0,0,0,NA
"7099","M",2,1,0,0,0,0
"7100","M",3,1,1,0,1,0
"7101","F",9,1,1,1,1,NA
"7102","F",1,1,0,0,0,0
"7103","M",12,0,0,0,0,NA
"7104","F",15,0,0,0,NA,NA
"7105","M",14,1,0,0,NA,NA
"7106","F",8,0,0,0,0,0
"7107","F",3,1,0,1,0,0
"7108","F",2,1,1,1,0,0
"7109","F",1,0,0,0,0,0
"7110","F",8,1,1,1,1,1
"7111","M",5,1,1,0,0,0
"7112","M",15,1,0,1,NA,NA
"7113","F",10,0,0,0,0,NA
"7114","F",10,1,1,0,0,NA
"7115","F",14,0,0,0,NA,NA
"7116","M",12,1,0,0,0,NA
"7117","F",15,0,0,0,NA,NA
"7118","F",15,1,1,0,NA,NA
"7119","M",11,0,0,0,0,NA
"7120","M",5,1,0,0,0,0
"7121","M",10,0,0,0,0,NA
"7122","F",11,0,0,0,0,NA
"7123","F",3,0,0,0,0,0
"7124","F",14,1,0,0,NA,NA
"7125","M",4,1,1,0,0,0
"7126","F",10,1,1,1,1,NA
"7127","F",14,0,0,0,NA,NA
"7128","M",2,1,0,0,0,0
"7129","F",5,0,0,0,0,0
"7130","F",16,1,1,1,NA,NA
"7131","F",15,0,0,0,NA,NA
"7132","F",4,0,0,0,0,0
"7133","M",2,1,1,0,0,0
"7134","F",2,1,0,0,0,0
"7135","M",3,0,0,0,0,0
"7136","M",11,1,1,1,1,NA
"7137","F",7,0,0,0,0,0
"7138","M",16,0,0,0,NA,NA
"7139","M",14,0,0,0,NA,NA
"7140","M",6,1,0,0,0,0
"7141","F",8,1,0,1,0,0
"7142","F",10,0,0,0,0,NA
"7143","F",2,1,1,1,1,1
"7144","F",13,1,1,1,NA,NA
"7145","F",5,0,0,0,0,0
"7146","F",12,0,0,0,0,NA
"7147","M",10,1,0,0,1,NA
"7148","F",1,0,0,0,0,0
"7149","F",5,0,0,0,0,0
"7150","M",10,1,0,0,0,NA
"7151","M",5,1,0,0,0,0
"7152","M",16,0,0,0,NA,NA
"7153","M",12,1,1,1,0,NA
"7154","M",16,1,1,1,NA,NA
"7155","F",9,1,0,0,0,NA
"7156","F",5,1,1,1,1,0
"7157","F",11,1,1,0,1,NA
"7158","F",11,0,0,0,0,NA
"7159","F",4,1,1,1,1,1
"7160","M",9,1,1,0,0,NA
"7161","M",8,1,1,1,1,1
"7162","F",11,1,0,0,0,NA
"7163","F",5,1,1,1,0,0
"7164","F",7,0,0,0,0,0
"7165","M",8,0,0,0,0,0
"7166","M",16,0,0,0,NA,NA
"7167","F",2,0,0,0,0,0
"7168","M",7,0,0,0,0,0
"7169","F",12,0,0,0,0,NA
"7170","F",9,1,0,0,0,NA
"7171","M",2,1,0,1,1,1
"7172","F",5,1,0,0,0,0
"7173","M",11,0,0,0,0,NA
"7174","M",3,0,0,0,0,0
"7175","F",13,1,1,0,NA,NA
"7176","M",15,0,0,0,NA,NA
"7177","F",5,0,0,0,0,0
"7178","F",15,0,0,0,NA,NA
"7179","F",10,0,0,0,0,NA
"7180","F",13,0,0,0,NA,NA
"7181","F",16,1,0,0,NA,NA
"7182","F",7,1,0,0,0,0
"7183","F",15,0,0,0,NA,NA
"7184","F",2,0,0,0,0,0
"7185","M",2,1,1,1,0,1
"7186","M",10,1,0,0,0,NA
"7187","M",16,0,0,0,NA,NA
"7188","M",7,0,0,0,0,0
"7189","F",6,1,0,0,0,0
"7190","F",15,1,0,0,NA,NA
"7191","M",3,1,1,0,0,1
"7192","M",12,1,0,0,0,NA
"7193","M",16,0,0,0,NA,NA
"7194","M",12,1,0,0,0,NA
"7195","M",11,0,0,0,0,NA
"7196","M",14,0,0,0,NA,NA
"7197","M",12,1,1,1,0,NA
"7198","M",6,1,1,0,0,0
"7199","F",8,1,1,1,0,0
"7200","M",12,0,0,0,0,NA
"7201","M",7,1,1,1,1,1
"7202","F",4,1,0,1,0,0
"7203","M",13,0,0,0,NA,NA
"7204","F",15,0,0,0,NA,NA
"7205","M",10,1,1,0,0,NA
"7206","M",1,1,1,0,0,1
"7207","M",6,0,0,0,0,0
"7208","F",3,1,1,0,0,1
"7209","F",13,1,0,0,NA,NA
"7210","F",12,0,0,0,0,NA
"7211","F",3,0,0,0,0,0
"7212","F",4,1,0,0,0,0
"7213","F",13,1,0,1,NA,NA
"7214","M",16,1,0,1,NA,NA
"7215","M",15,0,0,0,NA,NA
"7216","M",8,1,0,1,0,0
"7217","F",12,0,0,0,0,NA
"7218","M",11,0,0,0,0,NA
"7219","F",10,0,0,0,0,NA
"7220","F",8,1,1,0,1,1
"7221","M",9,1,0,0,0,NA
"7222","M",10,1,1,1,1,NA
"7223","F",12,0,0,0,0,NA
"7224","F",14,1,0,0,NA,NA
"7225","M",8,1,0,0,0,0
"7226","F",10,0,0,0,0,NA
"7227","F",1,0,0,0,0,0
"7228","M",13,0,0,0,NA,NA
"7229","F",15,1,0,1,NA,NA
"7230","F",16,1,0,0,NA,NA
"7231","M",2,1,1,0,1,1
"7232","F",13,1,1,1,NA,NA
"7233","F",4,1,1,1,1,0
"7234","M",8,0,0,0,0,0
"7235","F",9,0,0,0,0,NA
"7236","F",15,0,0,0,NA,NA
"7237","M",1,1,1,0,0,0
"7238","M",6,1,0,0,0,0
"7239","F",14,1,1,1,NA,NA
"7240","M",2,1,1,0,0,1
"7241","F",8,1,0,1,0,0
"7242","F",16,0,0,0,NA,NA
"7243","M",10,1,0,0,0,NA
"7244","M",7,1,0,0,0,0
"7245","M",4,0,0,0,0,0
"7246","F",13,0,0,0,NA,NA
"7247","M",10,1,1,0,0,NA
"7248","F",10,0,0,0,0,NA
"7249","F",15,0,0,0,NA,NA
"7250","F",11,1,1,1,1,NA
"7251","F",14,1,1,0,NA,NA
"7252","F",7,0,0,0,0,0
"7253","M",8,1,1,1,0,0
"7254","M",9,1,0,0,0,NA
"7255","M",8,0,0,0,0,0
"7256","F",2,1,0,0,0,0
"7257","M",12,1,1,1,0,NA
"7258","M",11,1,1,1,0,NA
"7259","M",4,1,0,0,0,0
"7260","F",8,1,0,0,0,0
"7261","M",8,1,1,1,0,1
"7262","M",1,0,0,0,0,0
"7263","M",8,0,0,0,0,0
"7264","F",14,0,0,0,NA,NA
"7265","M",10,1,0,0,0,NA
"7266","F",1,0,0,0,0,0
"7267","F",14,1,0,0,NA,NA
"7268","F",11,0,0,0,0,NA
"7269","M",12,1,0,0,0,NA
"7270","M",10,0,0,0,0,NA
"7271","M",15,1,0,0,NA,NA
"7272","M",12,1,1,1,0,NA
"7273","M",8,1,1,1,0,1
"7274","F",12,1,1,0,0,NA
"7275","F",12,1,0,0,0,NA
"7276","F",4,1,1,1,0,0
"7277","M",6,1,1,0,0,0
"7278","M",5,1,0,1,0,0
"7279","F",7,0,0,0,0,0
"7280","F",8,0,0,0,0,0
"7281","F",14,0,0,0,NA,NA
"7282","M",13,0,0,0,NA,NA
"7283","M",1,1,1,1,1,1
"7284","F",15,1,0,0,NA,NA
"7285","M",3,1,1,1,1,1
"7286","F",9,1,1,1,1,NA
"7287","F",7,0,0,0,0,0
"7288","M",15,1,1,1,NA,NA
"7289","M",13,0,0,0,NA,NA
"7290","M",8,0,0,0,0,0
"7291","F",12,0,0,0,0,NA
"7292","F",14,0,0,0,NA,NA
"7293","F",4,0,0,0,0,0
"7294","F",12,1,0,0,0,NA
"7295","M",16,0,0,0,NA,NA
"7296","F",5,0,0,0,0,0
"7297","M",12,1,1,0,0,NA
"7298","F",10,1,1,1,1,NA
"7299","F",8,0,0,0,0,0
"7300","F",13,0,0,0,NA,NA
"7301","F",11,1,1,0,0,NA
"7302","M",1,1,1,1,0,1
"7303","F",15,0,0,0,NA,NA
"7304","F",5,0,0,0,0,0
"7305","M",3,0,0,0,0,0
"7306","M",12,1,1,0,0,NA
"7307","M",1,1,0,0,0,0
"7308","F",4,0,0,0,0,0
"7309","F",5,0,0,0,0,0
"7310","M",9,0,0,0,0,NA
"7311","M",10,1,1,0,0,NA
"7312","F",6,1,1,0,0,0
"7313","F",15,0,0,0,NA,NA
"7314","F",6,0,0,0,0,0
"7315","F",4,1,1,1,1,1
"7316","M",12,1,1,0,0,NA
"7317","M",8,0,0,0,0,0
"7318","M",15,1,0,0,NA,NA
"7319","M",16,1,0,0,NA,NA
"7320","M",8,0,0,0,0,0
"7321","M",3,1,1,0,0,0
"7322","M",12,1,1,0,0,NA
"7323","M",13,1,1,0,NA,NA
"7324","M",14,1,0,0,NA,NA
"7325","F",11,1,1,1,0,NA
"7326","F",15,1,1,0,NA,NA
"7327","F",15,1,1,1,NA,NA
"7328","F",3,0,0,0,0,0
"7329","M",1,0,0,0,0,0
"7330","M",2,1,0,0,0,0
"7331","M",4,0,0,0,0,0
"7332","F",2,0,0,0,0,0
"7333","F",11,1,0,0,0,NA
"7334","F",15,1,1,1,NA,NA
"7335","F",10,1,1,0,0,NA
"7336","M",7,1,0,0,0,0
"7337","M",7,0,0,0,0,0
"7338","F",3,0,0,0,0,0
"7339","F",14,1,1,1,NA,NA
"7340","F",3,1,1,0,0,0
"7341","M",15,0,0,0,NA,NA
"7342","F",5,0,0,0,0,0
"7343","F",6,0,0,0,0,0
"7344","F",1,0,0,0,0,0
"7345","M",16,1,0,0,NA,NA
"7346","M",15,1,0,0,NA,NA
"7347","M",6,1,0,1,0,1
"7348","F",11,0,0,0,0,NA
"7349","F",12,1,0,0,0,NA
"7350","M",15,1,0,1,NA,NA
"7351","M",1,0,0,0,0,0
"7352","M",6,1,0,0,0,0
"7353","F",12,1,0,0,0,NA
"7354","F",8,1,1,1,1,0
"7355","M",6,0,0,0,0,0
"7356","F",10,1,0,0,0,NA
"7357","M",4,1,1,0,0,0
"7358","M",16,0,0,0,NA,NA
"7359","M",4,0,0,0,0,0
"7360","M",12,1,1,1,1,NA
"7361","M",13,0,0,0,NA,NA
"7362","F",2,1,1,1,0,0
"7363","F",16,1,1,1,NA,NA
"7364","M",10,0,0,0,0,NA
"7365","F",9,1,0,0,0,NA
"7366","M",12,1,0,1,0,NA
"7367","M",16,0,0,0,NA,NA
"7368","F",3,0,0,0,0,0
"7369","F",11,1,1,1,0,NA
"7370","F",9,0,0,0,0,NA
"7371","M",11,0,0,0,0,NA
"7372","M",3,0,0,0,0,0
"7373","M",8,1,1,1,0,0
"7374","F",6,1,1,1,0,1
"7375","M",7,1,0,0,0,0
"7376","F",6,0,0,0,0,0
"7377","F",9,1,1,0,0,NA
"7378","F",7,0,0,0,0,0
"7379","F",1,0,0,0,0,0
"7380","M",1,1,1,0,0,0
"7381","M",13,1,0,0,NA,NA
"7382","F",6,1,0,1,0,0
"7383","M",9,1,1,0,0,NA
"7384","F",3,1,1,1,0,0
"7385","M",5,1,1,1,0,1
"7386","F",11,1,0,0,0,NA
"7387","F",16,0,0,0,NA,NA
"7388","F",10,1,0,0,0,NA
"7389","F",4,1,0,0,0,0
"7390","M",4,1,0,0,0,0
"7391","F",8,1,1,1,0,0
"7392","M",13,0,0,0,NA,NA
"7393","F",1,0,0,0,0,0
"7394","M",15,0,0,0,NA,NA
"7395","M",12,1,0,0,1,NA
"7396","F",1,1,0,0,0,1
"7397","F",14,1,0,0,NA,NA
"7398","M",5,1,1,1,1,0
"7399","F",7,1,1,1,0,0
"7400","M",8,0,0,0,0,0
"7401","F",13,0,0,0,NA,NA
"7402","M",10,1,0,0,0,NA
"7403","F",6,1,0,0,0,0
"7404","F",14,1,0,0,NA,NA
"7405","M",11,0,0,0,0,NA
"7406","M",16,0,0,0,NA,NA
"7407","F",4,1,0,1,1,0
"7408","M",2,1,0,0,0,0
"7409","F",7,1,0,0,0,0
"7410","F",2,1,0,0,0,1
"7411","M",6,1,0,0,0,0
"7412","F",14,1,1,1,NA,NA
"7413","M",10,0,0,0,0,NA
"7414","F",4,0,0,0,0,0
"7415","M",14,0,0,0,NA,NA
"7416","M",9,1,1,0,0,NA
"7417","F",6,0,0,0,0,0
"7418","F",16,0,0,0,NA,NA
"7419","F",6,1,1,1,0,0
"7420","M",16,0,0,0,NA,NA
"7421","F",10,1,1,0,0,NA
"7422","F",15,1,0,0,NA,NA
"7423","F",5,0,0,0,0,0
"7424","F",10,1,1,1,1,NA
"7425","M",3,1,0,0,0,0
"7426","F",6,0,0,0,0,0
"7427","M",8,1,0,0,1,0
"7428","F",2,1,0,0,0,0
"7429","F",3,0,0,0,0,0
"7430","F",12,1,1,0,0,NA
"7431","M",10,0,0,0,0,NA
"7432","M",10,0,0,0,0,NA
"7433","M",1,1,1,0,0,0
"7434","M",6,0,0,0,0,0
"7435","M",13,0,0,0,NA,NA
"7436","M",1,0,0,0,0,0
"7437","F",11,0,0,0,0,NA
"7438","M",13,0,0,0,NA,NA
"7439","F",10,0,0,0,0,NA
"7440","M",3,1,0,0,0,0
"7441","F",6,0,0,0,0,0
"7442","M",4,1,1,1,1,1
"7443","M",16,1,0,0,NA,NA
"7444","F",4,1,1,0,0,0
"7445","F",6,1,1,1,0,0
"7446","F",11,0,0,0,0,NA
"7447","M",13,0,0,0,NA,NA
"7448","F",9,1,0,1,1,NA
"7449","F",11,1,1,0,0,NA
"7450","M",2,0,0,0,0,0
"7451","M",11,0,0,0,0,NA
"7452","M",4,0,0,0,0,0
"7453","F",13,1,1,1,NA,NA
"7454","F",2,0,0,0,0,0
"7455","F",16,1,0,0,NA,NA
"7456","F",15,0,0,0,NA,NA
"7457","M",9,1,0,0,0,NA
"7458","F",2,1,0,0,0,0
"7459","M",5,1,1,0,0,0
"7460","M",13,1,0,0,NA,NA
"7461","M",1,0,0,0,0,0
"7462","F",1,1,1,0,0,0
"7463","F",9,1,1,0,0,NA
"7464","M",9,0,0,0,0,NA
"7465","M",5,1,0,0,0,0
"7466","M",3,0,0,0,0,0
"7467","M",11,1,0,0,0,NA
"7468","M",15,1,0,0,NA,NA
"7469","M",10,1,0,1,0,NA
"7470","F",14,0,0,0,NA,NA
"7471","M",10,0,0,0,0,NA
"7472","F",15,0,0,0,NA,NA
"7473","M",3,0,0,0,0,0
"7474","M",7,1,1,1,0,0
"7475","M",11,0,0,0,0,NA
"7476","F",5,0,0,0,0,0
"7477","F",8,1,1,1,1,0
"7478","F",16,0,0,0,NA,NA
"7479","M",10,1,0,0,0,NA
"7480","M",11,1,0,0,0,NA
"7481","M",8,1,1,1,1,0
"7482","F",12,1,0,0,0,NA
"7483","M",3,1,0,0,0,0
"7484","M",12,0,0,0,0,NA
"7485","F",3,1,1,0,0,0
"7486","M",11,1,0,0,0,NA
"7487","F",16,1,0,0,NA,NA
"7488","M",13,1,1,1,NA,NA
"7489","F",13,0,0,0,NA,NA
"7490","F",12,0,0,0,0,NA
"7491","M",6,0,0,0,0,0
"7492","M",14,0,0,0,NA,NA
"7493","F",9,0,0,0,0,NA
"7494","M",16,0,0,0,NA,NA
"7495","F",12,0,0,0,0,NA
"7496","M",8,1,0,1,0,0
"7497","M",8,0,0,0,0,0
"7498","M",14,1,1,0,NA,NA
"7499","M",12,0,0,0,0,NA
"7500","F",2,1,1,1,1,0
"7501","M",3,1,0,0,0,0
"7502","F",8,1,0,0,0,0
"7503","M",11,0,0,0,0,NA
"7504","F",13,0,0,0,NA,NA
"7505","M",7,1,0,0,0,0
"7506","M",2,1,0,0,0,0
"7507","M",4,0,0,0,0,0
"7508","F",6,0,0,0,0,0
"7509","F",7,0,0,0,0,0
"7510","F",2,0,0,0,0,0
"7511","M",14,0,0,0,NA,NA
"7512","M",11,0,0,0,0,NA
"7513","M",4,1,1,1,1,1
"7514","F",7,0,0,0,0,0
"7515","M",14,0,0,0,NA,NA
"7516","F",14,1,0,0,NA,NA
"7517","M",14,1,1,1,NA,NA
"7518","M",5,1,1,1,0,0
"7519","M",11,1,0,0,0,NA
"7520","F",14,0,0,0,NA,NA
"7521","F",4,0,0,0,0,0
"7522","M",15,1,0,0,NA,NA
"7523","F",15,0,0,0,NA,NA
"7524","F",14,1,0,0,NA,NA
"7525","F",6,0,0,0,0,0
"7526","F",8,0,0,0,0,0
"7527","F",6,1,0,0,0,0
"7528","M",3,1,1,1,1,1
"7529","F",8,1,0,1,0,0
"7530","M",11,1,0,1,0,NA
"7531","F",16,1,0,0,NA,NA
"7532","M",3,0,0,0,0,0
"7533","F",10,1,0,0,0,NA
"7534","F",3,1,0,0,0,0
"7535","M",5,1,1,0,0,0
"7536","M",13,0,0,0,NA,NA
"7537","F",14,0,0,0,NA,NA
"7538","F",4,0,0,0,0,0
"7539","F",1,0,0,0,0,0
"7540","F",2,1,1,0,0,0
"7541","F",7,1,0,0,0,0
"7542","M",11,0,0,0,0,NA
"7543","M",1,1,0,0,0,0
"7544","M",8,0,0,0,0,0
"7545","M",12,1,1,1,0,NA
"7546","F",13,1,0,0,NA,NA
"7547","M",5,0,0,0,0,0
"7548","M",14,0,0,0,NA,NA
"7549","F",3,0,0,0,0,0
"7550","M",3,1,0,0,0,0
"7551","F",8,1,1,0,1,1
"7552","F",7,0,0,0,0,0
"7553","M",15,1,0,0,NA,NA
"7554","M",13,0,0,0,NA,NA
"7555","F",1,0,0,0,0,0
"7556","M",3,1,1,0,1,1
"7557","M",13,0,0,0,NA,NA
"7558","F",14,0,0,0,NA,NA
"7559","F",10,0,0,0,0,NA
"7560","M",13,1,0,0,NA,NA
"7561","M",15,1,0,0,NA,NA
"7562","M",10,1,0,0,0,NA
"7563","M",16,1,0,0,NA,NA
"7564","M",5,0,0,0,0,0
"7565","M",1,1,1,0,0,0
"7566","F",9,1,1,1,1,NA
"7567","F",11,1,1,1,1,NA
"7568","F",4,1,0,1,1,0
"7569","F",8,0,0,0,0,0
"7570","M",7,1,0,1,0,0
"7571","F",8,1,1,0,0,0
"7572","M",12,0,0,0,0,NA
"7573","F",15,1,1,0,NA,NA
"7574","F",8,1,1,1,1,1
"7575","M",13,0,0,0,NA,NA
"7576","F",14,1,0,0,NA,NA
"7577","F",1,1,1,0,0,0
"7578","M",7,0,0,0,0,0
"7579","F",7,0,0,0,0,0
"7580","M",9,1,1,1,0,NA
"7581","F",15,1,1,1,NA,NA
"7582","F",11,0,0,0,0,NA
"7583","M",11,1,1,1,0,NA
"7584","F",13,1,0,1,NA,NA
"7585","M",10,0,0,0,0,NA
"7586","M",9,0,0,0,0,NA
"7587","M",11,0,0,0,0,NA
"7588","M",6,0,0,0,0,0
"7589","F",16,1,1,1,NA,NA
"7590","M",10,1,0,0,0,NA
"7591","M",1,1,1,0,1,1
"7592","M",9,1,1,1,0,NA
"7593","F",3,1,1,1,0,0
"7594","M",5,1,0,1,1,0
"7595","M",3,1,1,1,1,0
"7596","F",3,1,0,0,0,0
"7597","F",8,1,1,1,1,1
"7598","F",14,0,0,0,NA,NA
"7599","F",15,0,0,0,NA,NA
"7600","F",7,0,0,0,0,0
"7601","M",9,0,0,0,0,NA
"7602","F",11,1,1,1,1,NA
"7603","F",2,0,0,0,0,0
"7604","F",11,0,0,0,0,NA
"7605","F",4,1,1,1,0,0
"7606","M",5,1,0,0,0,0
"7607","M",9,1,1,1,0,NA
"7608","F",15,1,1,0,NA,NA
"7609","M",7,1,0,0,0,0
"7610","M",8,1,0,0,0,0
"7611","F",11,1,1,0,1,NA
"7612","F",16,0,0,0,NA,NA
"7613","F",6,1,0,0,0,0
"7614","M",12,0,0,0,0,NA
"7615","M",3,0,0,0,0,0
"7616","M",7,0,0,0,0,0
"7617","F",6,1,1,0,1,1
"7618","M",11,1,1,1,1,NA
"7619","M",13,0,0,0,NA,NA
"7620","F",10,0,0,0,0,NA
"7621","M",8,1,0,0,0,0
"7622","F",8,1,0,0,0,0
"7623","F",15,0,0,0,NA,NA
"7624","M",2,1,0,0,0,0
"7625","F",6,1,1,0,0,0
"7626","F",9,1,1,1,1,NA
"7627","M",7,0,0,0,0,0
"7628","M",8,1,0,0,0,0
"7629","F",16,1,1,1,NA,NA
"7630","F",4,0,0,0,0,0
"7631","F",2,1,1,1,1,1
"7632","M",6,1,0,0,0,0
"7633","M",9,0,0,0,0,NA
"7634","M",12,1,0,0,0,NA
"7635","F",13,1,1,0,NA,NA
"7636","M",4,1,0,0,0,0
"7637","F",6,0,0,0,0,0
"7638","F",12,1,1,0,0,NA
"7639","F",3,1,1,1,0,0
"7640","F",4,0,0,0,0,0
"7641","F",5,0,0,0,0,0
"7642","M",8,1,0,0,1,0
"7643","F",5,1,1,1,0,0
"7644","M",14,0,0,0,NA,NA
"7645","F",16,1,0,0,NA,NA
"7646","M",16,1,1,0,NA,NA
"7647","M",12,0,0,0,0,NA
"7648","M",8,1,1,1,1,1
"7649","F",16,0,0,0,NA,NA
"7650","M",9,1,0,0,0,NA
"7651","M",9,1,0,0,0,NA
"7652","M",1,0,0,0,0,0
"7653","F",13,0,0,0,NA,NA
"7654","M",14,1,1,1,NA,NA
"7655","F",15,1,1,0,NA,NA
"7656","F",1,1,1,0,0,0
"7657","F",4,0,0,0,0,0
"7658","M",9,0,0,0,0,NA
"7659","F",16,1,0,0,NA,NA
"7660","M",7,0,0,0,0,0
"7661","M",8,1,0,0,0,0
"7662","F",8,0,0,0,0,0
"7663","M",6,1,1,1,0,1
"7664","F",7,1,0,0,0,1
"7665","F",11,0,0,0,0,NA
"7666","M",11,0,0,0,0,NA
"7667","M",10,1,1,1,0,NA
"7668","F",4,1,1,0,0,0
"7669","M",1,0,0,0,0,0
"7670","F",3,0,0,0,0,0
"7671","M",2,0,0,0,0,0
"7672","M",9,0,0,0,0,NA
"7673","F",16,0,0,0,NA,NA
"7674","F",3,1,1,1,1,1
"7675","F",15,1,1,0,NA,NA
"7676","F",7,0,0,0,0,0
"7677","M",9,0,0,0,0,NA
"7678","F",14,1,1,1,NA,NA
"7679","M",2,1,0,0,0,0
"7680","M",2,1,0,0,0,0
"7681","F",3,1,0,0,0,0
"7682","F",4,1,1,0,0,0
"7683","M",6,1,0,0,0,0
"7684","M",16,0,0,0,NA,NA
"7685","F",2,0,0,0,0,0
"7686","F",4,1,1,1,1,1
"7687","M",5,0,0,0,0,0
"7688","M",15,0,0,0,NA,NA
"7689","F",16,0,0,0,NA,NA
"7690","M",16,1,0,0,NA,NA
"7691","M",3,0,0,0,0,0
"7692","M",10,0,0,0,0,NA
"7693","M",10,1,1,1,1,NA
"7694","F",3,1,0,0,0,0
"7695","F",3,0,0,0,0,0
"7696","F",15,0,0,0,NA,NA
"7697","F",2,1,0,0,0,0
"7698","M",1,1,0,0,0,1
"7699","F",5,1,0,0,1,0
"7700","M",6,1,0,0,0,0
"7701","F",11,1,0,0,0,NA
"7702","M",16,1,0,0,NA,NA
"7703","F",8,1,1,1,0,1
"7704","F",2,1,1,1,1,1
"7705","F",1,1,1,0,1,0
"7706","F",8,1,0,0,0,1
