"","sex","ef_age","new_age","acc_inv"
"159","F","[16,18]","[16,19]","0"
"160","F","[16,18]","[16,19]","0"
"161","M","(22,80]","(33,80]","0"
"162","M","(18,22]","(19,33]","0"
"163","F","(22,80]","(33,80]","0"
"164","M","[16,18]","[16,19]","0"
"165","M","(18,22]","(19,33]","0"
"166","M","[16,18]","[16,19]","0"
"167","M","[16,18]","[16,19]","0"
"168","M","[16,18]","[16,19]","0"
"169","F","(18,22]","(19,33]","0"
"170","F","(22,80]","(33,80]","0"
"171","F","[16,18]","[16,19]","0"
"172","F","[16,18]","[16,19]","0"
"173","F","[16,18]","[16,19]","0"
"174","F","(18,22]","[16,19]","0"
"175","F","(22,80]","(19,33]","0"
"176","F","(22,80]","(33,80]","0"
"177","M","[16,18]","[16,19]","1+"
"178","F","[16,18]","[16,19]","0"
"179","M","[16,18]","[16,19]","0"
"180","F","[16,18]","[16,19]","0"
"181","F","(18,22]","(19,33]","0"
"182","F","[16,18]","[16,19]","0"
"183","F","(22,80]","(19,33]","0"
"184","M","[16,18]","[16,19]","0"
"185","M","[16,18]","[16,19]","1+"
"186","F","(18,22]","(19,33]","0"
"187","F","(22,80]","(19,33]","1+"
"188","F","[16,18]","[16,19]","0"
"189","F","(22,80]","(33,80]","1+"
"190","M","[16,18]","[16,19]","0"
"191","F","[16,18]","[16,19]","0"
"192","F","[16,18]","[16,19]","0"
"193","M","(18,22]","(19,33]","0"
"194","M","[16,18]","[16,19]","0"
"195","M","[16,18]","[16,19]","0"
"196","F","[16,18]","[16,19]","0"
"197","F","[16,18]","[16,19]","0"
"198","F","(22,80]","(33,80]","0"
"199","F","[16,18]","[16,19]","0"
"200","M","(18,22]","[16,19]","0"
"201","F","(22,80]","(33,80]","0"
"202","F","(22,80]","(33,80]","0"
"203","F","(18,22]","(19,33]","0"
"204","F","[16,18]","[16,19]","0"
"205","F","[16,18]","[16,19]","0"
"206","F","(22,80]","(19,33]","1+"
"207","F","(18,22]","[16,19]","0"
"208","M","(22,80]","(19,33]","0"
"209","M","(18,22]","[16,19]","0"
"210","F","[16,18]","[16,19]","0"
"211","F","[16,18]","[16,19]","0"
"212","F","[16,18]","[16,19]","1+"
"213","F","[16,18]","[16,19]","0"
"214","F","[16,18]","[16,19]","0"
"215","F","[16,18]","[16,19]","0"
"216","F","[16,18]","[16,19]","0"
"217","F","(18,22]","[16,19]","0"
"218","F","(22,80]","(33,80]","0"
"219","M","(18,22]","[16,19]","0"
"220","F","(18,22]","(19,33]","0"
"221","M","[16,18]","[16,19]","0"
"222","F","(18,22]","[16,19]","0"
"223","M","[16,18]","[16,19]","1+"
"224","M","(18,22]","[16,19]","0"
"225","F","[16,18]","[16,19]","0"
"226","F","[16,18]","[16,19]","0"
"227","M","[16,18]","[16,19]","0"
"228","F","[16,18]","[16,19]","0"
"229","F","(22,80]","(33,80]","0"
"230","F","(18,22]","(19,33]","0"
"231","F","[16,18]","[16,19]","0"
"232","F","(22,80]","(19,33]","0"
"233","F","(22,80]","(19,33]","0"
"234","F","[16,18]","[16,19]","0"
"235","F","[16,18]","[16,19]","1+"
"236","F","(18,22]","[16,19]","0"
"237","F","(18,22]","(19,33]","1+"
"238","F","[16,18]","[16,19]","0"
"239","F","[16,18]","[16,19]","0"
"240","F","(22,80]","(33,80]","1+"
"241","F","(18,22]","(19,33]","0"
"242","F","[16,18]","[16,19]","1+"
"243","M","[16,18]","[16,19]","0"
"244","F","[16,18]","[16,19]","0"
"245","F","[16,18]","[16,19]","0"
"246","M","[16,18]","[16,19]","0"
"247","F","[16,18]","[16,19]","0"
"248","F","[16,18]","[16,19]","0"
"249","F","(22,80]","(19,33]","0"
"250","F","(18,22]","(19,33]","0"
